

Alimentador 0 
DE	PARA	Ia 	 Ib 	Ic 	 Ampacidade 	Carregamento 	Pa	Pb	Pc	Qa	Qb	Qc 
43	44	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6587744  	 1.3133316  	 1.0237401  	 0.2814941  	 0.5560593  	 0.2793690  
44	45	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6587486  	 1.3132553  	 1.0237665  	 0.2815084  	 0.5559417  	 0.2793285  
45	46	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6587249  	 1.3131853  	 1.0237906  	 0.2815215  	 0.5558338  	 0.2792914  
46	47	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6587018  	 1.3131168  	 1.0238142  	 0.2815343  	 0.5557284  	 0.2792552  
47	48	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6586769  	 1.3130431  	 1.0238397  	 0.2815481  	 0.5556148  	 0.2792162  
48	49	 21.0466945 	 42.0336479  	  30.4523906   	   630.0000000  	    6.6720076  	 0.6586538  	 1.3129748  	 1.0238634  	 0.2815610  	 0.5555094  	 0.2791799  
49	50	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6586538  	 1.3129748  	 1.0238634  	 0.2815610  	 0.5555094  	 0.2791799  
50	51	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6586228  	 1.3128830  	 1.0238951  	 0.2815782  	 0.5553680  	 0.2791313  
51	52	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6585918  	 1.3127910  	 1.0239268  	 0.2815954  	 0.5552263  	 0.2790826  
52	53	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6585609  	 1.3126996  	 1.0239584  	 0.2816125  	 0.5550854  	 0.2790342  
53	54	 21.0466945 	 42.0336479  	  30.4523906   	   250.0000000  	    16.8134591  	 0.6585314  	 1.3126122  	 1.0239886  	 0.2816289  	 0.5549506  	 0.2789878  
